incident nummer,Beschrijving incident,hoofd afdelingen
1246968,CS EPD: Contact wordt niet opgeslagen,Commercial department
1202412,CS EPD: Contact wissen,Production A
1205350,CS EPD: Contact verwijderen.,Production A
1225809,CS EPD: Contact verwijderen.,Production A
1189069,CS EPD: Contact verwijderen,Production A
1191159,CS EPD: Contact verwijderen,Production A
1191259,CS EPD: Contact verwijderen,Production A
1192374,CS EPD: Contact verwijderen,Production A
1200543,CS EPD: Contact verwijderen,Production QA
1200854,CS EPD: Contact verwijderen,Production A
1202951,CS EPD: Contact verwijderen,Production QA
1207109,CS EPD: Contact verwijderen,Production A
1210151,CS EPD: Contact verwijderen,Production A
1212063,CS EPD: Contact verwijderen,Production A
1212717,CS EPD: Contact verwijderen,Production A
1213977,CS EPD: Contact verwijderen,Production A
1223941,CS EPD: Contact verwijderen,Production A
1228304,CS EPD: Contact verwijderen,Overig
1228647,CS EPD: Contact verwijderen,Production A
1228653,CS EPD: Contact verwijderen,Overig
1228661,CS EPD: Contact verwijderen,Commercial department
1229030,CS EPD: Contact verwijderen,Production A
1229199,CS EPD: Contact verwijderen,Production A
1230198,CS EPD: Contact verwijderen,Production A
1230398,CS EPD: Contact verwijderen,Production A
1231482,CS EPD: Contact verwijderen,Production A
1198127,CS EPD: Contact uit media dossier verwijderen,Production A
1203150,CS EPD: Contact toevoegen in EPD Inwendige geneeskunde,Commercial department
1246410,CS EPD: Contact komt op verkeerde plek,Production A
1213451,CS EPD: Contact is definitief,Production QA
1207823,CS EPD: Contact antedateren,Production A
1221710,CS EPD: contact aanpassen,Production A
1197327,CS EPD: Benamingen aanpassen,Production A
1220082,CS EPD: Behandeling testklant verwijderen.,Production A
1224495,CS EPD: Behandelbeperking toevoegen,Production A
1190083,CS EPD: beantwoording verwijderen,Production A
1230360,CS EPD: beantwoording verwijderen,Production A
1208977,CS EPD: Afspraak EPD,Commercial department
1199086,CS EPD: Aanmaken dossier,Production QA
1203944,CS EPD: 2 x poliklinisch contact verwijderen,Overig
1203605,"CS EPD: ""Mijn werklijst"" is aangepast.",Production A
1230893,CS EPD/Werkblad secretaresse: diverse vragen,Production A
1215717,CS EPD verwijderen brief,Production A
1206610,CS EPD spreekuur,Production A
1229895,CS EPD Neurologie: Vragenlijst botuline toxine schema - kan geen komma invullen bij dosis,Production A
1241240,CS EPD is erg traag,Commercial department
1189835,CS EPD buitenpoli Rijssen TRAAGHEID,Production A
1206634,CS EPD Brainlab,Facility management
1197004,CS DWR: Project: Digitale Wachtlijst Registratie,Marketing
1226523,CS dv artsencode,Production A
1238960,CS dv 5119 ww reset,Commercial department
1254426,CS dv 5119 traagheid,Production A
1254402,CS dv 5119 problemen inloggen domeinportaal,Onbekend
1224578,CS dv 5119 inloggegevens voor aanvragen onderzoeken,Onbekend
1209990,CS dv 5119 gescande dossiers,Production A
1208626,CS dv 5119 gebruiker geblControlekamerkeerd,Commercial department
1189247,CS dv 5119,Production QA
1193022,CS dv 5119,Production A
1195768,CS dv 5119,Production QA
1196267,CS dv 5119,Production A
1196823,CS dv 5119,Commercial department
1196829,CS dv 5119,HR advies
1196833,CS dv 5119,Overig
1199517,CS dv 5119,Commercial department
1201870,CS dv 5119,Production A
1202123,CS dv 5119,Production A
1205261,CS dv 5119,Production A
1206474,CS dv 5119,Production A
1207553,CS dv 5119,Commercial department
1207558,CS dv 5119,Commercial department
1207990,CS dv 5119,Commercial department
1208103,CS dv 5119,Production A
1209362,CS dv 5119,Overig
1210849,CS dv 5119,Commercial department
1211813,CS dv 5119,Production A
1211841,CS dv 5119,Production A
1211885,CS dv 5119,Commercial department
1213679,CS dv 5119,Commercial department
1213719,CS dv 5119,Production A
1215111,CS dv 5119,Production A
1215842,CS dv 5119,Production A
1219011,CS dv 5119,Overig
1224548,CS dv 5119,Production A
1226129,CS dv 5119,Production A
1226249,CS dv 5119,Commercial department
1226981,CS dv 5119,Production QA
1227249,CS dv 5119,Production A
1229006,CS dv 5119,Production A
1229427,CS dv 5119,Onbekend
1230515,CS dv 5119,Production A
1234796,CS dv 5119,Production A
1237946,CS dv 5119,Production A
1239739,CS dv 5119,Production A
1241549,CS dv 5119,Production QA
1249107,CS dv 5119,Production A
1254217,CS dv 5119,Production QA
1254870,CS dv 5119,Commercial department
1201241,CS dummyklant dv 5119,Commercial department
1247415,CS dossiergegevens niet allemaal in beeld dv 5119,Production QA
1190902,CS Dossier: verwijderen gegevens,Commercial department
1197052,CS Dossier: Verwijderen contact.,Production A
1241500,CS Dossier: GYN dossier cursor verspringt > nieuw toetsenbord,Production A
1191248,CS Dossier: GGZ dossier verwijderen,Production A
1188405,CS Dossier: beantwoording aanpassen,Production A
1204197,CS domeinportaal: Wachtwoord huisarts aanpassen,Commercial department
1225321,CS domeinportaal: Huisarts ziet klanten niet.,Onbekend
1226445,CS domeinportaal: Huisarts ziet klant niet in domeinportaal,Onbekend
1230126,CS domeinportaal: Huisarts ziet klant niet in domeinportaal,Onbekend
1192363,CS domeinportaal: Alle huisartsen kunnen inloggen in het domeinportaal en gegevens opvragen van hun eigen patiënten.,Facility management
1225062,CS documenten tekst kopieren en plakken gaat niet goed.,Production A
1232979,CS Document: Wijzigingen blijven niet bewaard,Production A
1194730,CS Document: Wijziging afspraakbevestiging bericht,Production QA
1188361,CS Document: vraag,Commercial department
1191090,CS Document: Voorbeeld tonen document,Commercial department
1225781,CS Document: Voettekst mist,Production A
1195560,CS Document: Verzoek tot aanpassing document MS Kan uitgevoerd worden,Commercial department
1193206,CS Document: Verwijderen dubbele documenten,Production A
1198946,CS Document: Verwijderen dubbel aangemaakte documenten,Production A
1255887,CS Document: Verwijderen dubbel aangemaakte brief,Production A
1215852,CS Document: Verwijderen documenten.,Production QA
1220584,CS Document: Verwijderen documenten.,Production A
1226843,CS Document: Verwijderen documenten OCON,Commercial department
1222050,CS Document: Verwijderen documenten,Production QA
1225778,CS Document: Verwijderen documenten,Production A
1202527,CS Document: Verwijderen document.,Production A
1210052,CS Document: Verwijderen document.,Production A
1240816,CS Document: Verwijderen document.,Production A
1243945,CS Document: Verwijderen document.,Production A
1189630,CS Document: Verwijderen document,Production QA
1195123,CS Document: Verwijderen document,Production A
1197510,CS Document: Verwijderen document,Production QA
1212361,CS Document: Verwijderen document,Production A
1217207,CS Document: Verwijderen document,Commercial department
1217917,CS Document: Verwijderen document,Production A
1222321,CS Document: Verwijderen document,Production A
1239455,CS Document: Verwijderen document,Production QA
1239838,CS Document: Verwijderen document,Marketing
1243958,CS Document: Verwijderen document,Production QA
1208936,CS Document: Verwijderen brieven.,Commercial department
1193823,CS Document: Verwijderen brief.,Production QA
1198223,CS Document: Verwijderen brief.,Production A
1244412,CS Document: Verwijderen brief,Production A
1228329,CS Document: verwijderen,Production QA
1192455,CS Document: Verkeerde tekstblControlekamerken,Commercial department
1199370,CS Document: Teveel spaties in document,Commercial department
1210207,CS Document: Test Immink staat bij te accorderen brieven. Dit moet weg.,Production A
1212353,"CS Document: tekstblControlekamerken wel zichtbaar bij MDL, niet bij interne",Production A
1189334,CS Document: tekstblControlekamerken toevoegen,Onbekend
1190897,CS Document: tekstblControlekamerken toevoegen,Production A
1194895,CS Document: TekstblControlekamer/favoriet aanmaken,Production A
1212445,CS Document: tekstblControlekamer te breed voor document,Production QA
1212209,CS Document: tekstblControlekamer aanpassen,Production A
1240895,CS Document: tekstblControlekamer aanpassen,Production A
1192356,CS Document: Sjablonen voor MDO,Production A
1195823,CS Document: sjablonen logopedie KNO/LOGO,Production A
1225929,CS Document: Sjablonen gastro-enterologie hebben allen Amsterdam in voettekst,Production A
1228660,CS Document: sjablonen aanpassen.,Production A
1195820,CS Document: sjablonen aanpassen,Production A
1242794,CS Document: sjablonen aanpassen,Production A
1221876,CS document: routeren docomenten naar interne artsen,Production A
1190322,CS Document: Poliklinische brief print over 2 pagina's,Production A
1224166,CS Document: papier komt niet uit goede lade,Production QA
1209202,CS Document: ontvanger komt niet in cc te staan/foutmelding over bladwijzers,Production A
1201625,CS Document: Ontslagbrief komt op verkeerd papier,Production A
1238171,CS Document: ondertiteling brief niet juist.,Production A
1251752,CS Document: naam arts verkeerd,Commercial department
1192360,CS Document: MDO bariatrie brief toevoegen,Facility management
1204747,CS Document: Kopieren vanuit document,Production A
1193604,CS Document: Klinische ontslag brief print altijd extra pagina,Production A
1195412,CS Document: Kiezen tussen een Amsterdamse en Amsterdamse brief.,Production QA
1189389,CS Document: Kan niet printen in CRM-ERP,Production A
1218430,CS Document: Kan niet bij een document,Commercial department
1207124,CS Document: kan geen documenten meer accorderen,Production A
1193471,CS Document: Kan document niet vinden,Production A
1189753,CS Document: Kan document niet routeren,Production QA
1189304,CS Document: Kan document niet printen op Ricoh,Production A
1192280,CS Document: Kan document niet printen,Commercial department
1242784,CS Document: kan document niet openen,Production A
1195403,CS Document: Kan document niet aanpassen.,Production A
1196157,CS Document: Is het mogelijk op de afspraakbevestiging het adres te vemelden van het ZKH?,Production QA
1244177,CS Document: gerouteerde documenten verschijnen niet,Onbekend
1240142,CS Document: geen klantgegevens op vervolgblad,Production A
1246589,CS Document: geen bladwijzers in document,Onbekend
1226746,CS Document: geadresseerden worden niet bijgewerkt,Production A
1220956,CS Document: geadresseerde niet zichtbaar.,Production A
1210742,CS Document: Geadresseerde niet goed,Production A
1208640,CS Document: Geaccordeerd document wijzigen,Commercial department
1226276,CS Document: Foutmelding: brief kan niet uit archief gehaald worden,Production A
1232207,CS Document: foutmelding openen bij document,Overig
1233732,CS Document: foutmelding onbekende geadresseerde,Production A
1221429,CS Document: foutmelding invalis class string,Commercial department
1197661,CS Document: Foutmelding bij openen document,Production A
1214630,CS Document: Foutmelding bij openen document,Overig
1227101,CS Document: Foutmelding bij openen document,Commercial department
1235261,CS Document: Foutmelding bij document,Production A
1198391,CS Document: Foutmelding bij accorderen document,Commercial department
1219641,CS Document: foutmelding,Overig
1232125,CS Document: foutmelding,Production A
1254356,CS Document: Fout in tekst document.,Production A
1198365,CS Document: Fout bij afdrukken,Production A
1196782,CS Document: Favoriet aanmaken,Production A
1194665,CS Document: Documenten verwijderen,Onbekend
1224307,CS Document: documenten komen uit verkeerde lade. Moet papier vakgroep zijn,Production QA
1240457,CS Document: documenten aanpassen,Production A
1203318,CS Document: Document wordt maar 1x op papier afgedrukt.,Production A
1233717,CS Document: document wordt geaccordeerd en gerouteerd,Production A
1189580,CS Document: document verwijderen.,Production A
1209204,CS Document: document verwijderen.,Production A
1230434,CS Document: document verwijderen.,Production A
1190495,CS Document: Document verwijderen,Production A
1191783,CS Document: Document verwijderen,Production A
1191786,CS Document: Document verwijderen,Production A
1197187,CS Document: Document verwijderen,Production A
1204188,CS Document: Document verwijderen,Production A
1205533,CS Document: Document verwijderen,Production A
1206469,CS Document: Document verwijderen,Production A
1207928,CS Document: Document verwijderen,Production A
1213953,CS Document: Document verwijderen,Production A
1226077,CS Document: Document verwijderen,Production A
1251022,CS Document: Document verwijderen,Production A
1209031,CS Document: Document vergrendeld.,Production A
1231332,CS Document: document verdwenen,Production A
1209005,CS document: document print niet bij routeren,Production A
1193770,CS Document: Document herstellen,Production A
1228357,CS Document: document deaccorderen,Production A
1193910,CS Document: Document Archief slaat vast.,Production A
1204121,CS Document: Document Archief filteren,Production A
1197946,CS Document: Document aanpassen,Commercial department
1210273,CS Document: Document aanpassen,Production A
1189322,CS Document: Controlekamer-verslag verwijderen,Commercial department
1188698,CS Document: Controlekamer sjabloon kwijt,Commercial department
1212771,CS Document: Contact verwijderen,Production A
1197734,CS Document: Contact selecteren bij generen,Production QA
1230658,CS Document: briefhoofden aanpassen.,Production A
1206324,CS Document: briefafslutinig wordt niet weergegeven,Commercial department
1197713,CS Document: Brief verwijderen.,Production A
1205937,CS Document: Brief verwijderen,Production A
1191914,CS Document: brief toevoegen GGZ,Production A
1203591,CS Document: Brief staat buiten haakjes.,Production A
1192258,CS Document: Blanco pagina,Production A
1204148,CS Document: Balken boven in beeld zijn niet juist.,Production A
1207126,CS Document: automatisch printen graag aanzetten,Production A
1233981,CS Document: afdrukken langzaam,Production A
1213942,CS Document: Afdrukken bij routeren,Production A
1205217,CS Document: Afdruk op papier,Production A
1194972,CS Document: Afdruk komt niet op juiste papier,Production A
1208787,CS Document: Adres niet zichtbaar en koptekst 2e pagina niet juist,Production A
1233710,CS Document: aantal documenten verminderen,Production A
1225749,CS Document: Aanpassen sjablonen,Production A
1243362,CS Document: Aanpassen sjablonen,Production A
1192083,CS Document: Aanpassen lettertypen.,Commercial department
1197047,CS Document: Aanpassen briefhoofden,Production A
1206968,CS Document: Aanpassen briefhoofd spec. GYN,Production A
1189333,CS Document: Aanmaakdatum wijzigen,Production A
1201479,CS Document: 2 vragen,Production A
1221325,CS document genereren - Winword.exe werkt niet meer,Overig
1244937,CS document Aanpassen document EPD chi,Production A
1190900,CS Digitalisering: probleem printen,Onbekend
1201417,CS Digitale Dossier Registratie: Aanpassen vragenlijst Preop 3.0,Commercial department
1202952,CS DBC's en snijdende assistenten,Overig
1251874,CS DBC-GGZ: ongeldige waarde DBC,Commercial department
1191049,CS DBC: Verrichting toevoegen lukt niet,Commercial department
1225968,CS DBC: Overzicht afsluitfouten orthopedie geeft niets weer,Commercial department
1226754,CS DBC: kan verwijzer niet vinden,Production A
1204795,CS DBC: DBC's zien in agenda derma assistenten,Production A
1231843,CS DBC GGZ: Kan geen uitvoerder kiezen,Commercial department
1226563,CS DBC GGZ registratie: uitvoerder verwijderen,Production A
1205233,CS CRM-ERP: Verkeerde layout,Commercial department
1203997,CS CRM-ERP: Traagheid bij boeken afspraak,Production A
1242584,CS CRM-ERP: Traagheid,Production QA
1217927,CS CRM-ERP: Taakselectie is aangepast,Production A
1245366,CS CRM-ERP: problemen met verversen,Production A
1192056,CS CRM-ERP: Printen stickervellen gaat niet goed.,Overig
1202919,CS CRM-ERP: postproductieve pijnscores van patiënten doorgeven aan de IGZ,Commercial department
1211842,CS CRM-ERP: Polsbandje,Commercial department
1192358,CS CRM-ERP: Mutatie gebruikers,Commercial department
1192355,CS CRM-ERP: Meldingen,Production QA
1213993,CS CRM-ERP: Lock op database,HR advies
1221584,CS CRM-ERP: koppeling met diamantsysteem,Overig
1206943,CS CRM-ERP: Knopjes boven in scherm kwijt.,Production QA
1200494,CS CRM-ERP: Kan CRM-ERP niet opstarten,Production A
1248025,CS CRM-ERP: Is heel traag,Commercial department
1248069,CS CRM-ERP: Is heel traag,Production A
1204790,CS CRM-ERP: Handelingen secretaresse verschijnen op zijn scherm,Production A
1239755,CS CRM-ERP: grote pictogrammen,Production A
1225870,CS CRM-ERP: Foutmelding: Not enought storage,Production A
1207830,CS CRM-ERP: Foutmelding: Not enough storage,Production QA
1196502,CS CRM-ERP: Foutmelding overzichtsomgeving:,Overig
1203174,CS CRM-ERP: foutmelding aanvragend arts 6657.,Production A
1196573,CS CRM-ERP: EPD Dashboard,Marketing
1189510,CS CRM-ERP: EPD dasboard links onderaan kwijt,Commercial department
1240463,CS CRM-ERP: diverse problemen,Production QA
1240465,CS CRM-ERP: diverse problemen,Onbekend
1190336,CS CRM-ERP: Dagverpleging heeft de CRM-ERP functie van de IC,Commercial department
1244934,CS CRM-ERP: CRM-ERP zit weer vast.,Overig
1208785,CS CRM-ERP: CRM-ERP loopt vast,Production A
1196284,CS CRM-ERP: CRM-ERP is heel traag,Production A
1212329,CS CRM-ERP: afdelingtabel,Marketing
1188981,CS CRM-ERP vastlopers hele afdeling,Production A
1223972,CS CRM-ERP Lifeline Omnius,Onbekend
1194695,CS CRM-ERP heel traag met printen van bonnen,Marketing
1240402,CS CRM-ERP  icoontje mist,Commercial department
1254153,CS Controlekamer2 kan geen klant opnemen,Overig
1198484,CS Controlekamer?:  Registratie 036801 bij circumcisie ipv 036800,Production A
1198446,CS Controlekamer: Volgorde binnen sessie veranderen werkt niet,Overig
1198971,CS Controlekamer: Toevoegen aan Controlekamer lijst,Production A
1231941,CS Controlekamer: Specialist versus verrichting - verrichtingen uitsluiten,Overig
1254515,CS Controlekamer: Opnamebericht OCON,Production QA
1213971,CS Controlekamer: Naam van assistent aanpassen,Production A
1245335,CS Controlekamer: kan naam niet toevoegen,Overig
1189199,CS Controlekamer: Kan geen verrichtingscode invoeren,Production QA
1231464,CS Controlekamer: Foutmelding ongeldig DBC-nummer,Commercial department
1209460,CS Controlekamer: Foutmelding dbc,Overig
1192383,CS Controlekamer: Foutmelding bij terugplaatsen Controlekamer naar wachtlijst,Commercial department
1218505,CS Controlekamer: fout op DBC bij selectie,Production A
1193882,CS Controlekamer: Fout bij invoeren dbc bij verrichting,Overig
1240908,CS Controlekamer: DBC foutmelding,Overig
1215251,CS Controlekamer: Aanpassen productie gegevens.,Production A
1196530,Cs blijft hangen,Overig
1240839,Cs blijft hangen,Production A
1241954,CS bij meerdere collega's erg traag.,Production A
1237325,CS bewerking beperkt bij werken in CS dv 5119,Production A
1234768,CS Beelden worden na een paar keer niet meer geopend,Production A
1208836,CS beelden van Ragan komen maar ook 1 scherm,Production A
1235231,"Cs beeld CS wordt wazig, alsof er waas over het beeld hangt",Production A
1212365,CS Beantwoording: beantwoording in gebruik,Commercial department
1226578,CS Archief: Picklijst,Marketing
1190805,CS Archief: overzicht zoekgeraakte dossiers aanpassen.,Marketing
1191735,CS Archief: Archief dossier verwijderen.,Production A
1194077,CS Archief dossiers: Locatie wordt niet automatisch gevuld.,Production A
1199927,CS Archief dossiers: Archief locaties zijn anders,Production A
1231767,CS Applicatie kan niet worden gestart,Commercial department
1200456,CS Apotheek: foutmelding in media,Marketing
1201423,CS Apotheek: Apotheek rules uitvoeren,Marketing
1220876,CS Anamnese: kan anamnese niet uitvoeren,Commercial department
1203816,CS Ambulante verrichtingen: Verrichtingscode vervallen,Commercial department
1230630,CS Ambulante verrichtingen: foutmelding,Commercial department
1191246,CS Ambulant: Mutaties,Commercial department
1210290,CS Ambulant: fout bij toevoegen verrichting,Production A
1231078,CS Ambulant: factuur aan derden,Production QA
1226594,CS Ambulant: Aanpassen verrichting,Production QA
1191108,CS Allergie: Allergie verwijderen,Production A
1230905,CS Agende: verrichting aan afspraakcode koppelen,Production A
1246979,CS agenda's orthopedie,Commercial department
1199569,CS Agenda: zwevende afspraak,Production A
1212059,CS Agenda: zwevende afspraak,Production A
1213996,CS Agenda: zwevende afspraak,Production A
1230656,CS Agenda: zwevende afspraak,Production A
1242836,CS Agenda: zwevende afspraak,Overig
1190816,CS Agenda: Zweefende afspraak verwijderen,Production QA
1189515,CS Agenda: zie meldtekst,Production A
1227902,CS Agenda: Weekrooster aanpassen,Commercial department
1197288,CS Agenda: wachtlijstafspraken tonen,Onbekend
1201627,CS Agenda: Waarschuwing dbc ontbreekt,Production A
1191631,CS Agenda: vraag uitvoerder,Production A
1199490,CS Agenda: Vraag over WLR andere disciplines,Production QA
1192408,CS Agenda: Vraag over wachtlijst,Production A
1227460,CS Agenda: vraag over afspraakcode,Commercial department
1192310,CS Agenda: vraag agenda patiëntenbespreking,Production A
1194170,CS Agenda: vraag,Production A
1209823,CS Agenda: volgorde subagenda's wijzigen,Production A
1205230,CS Agenda: vinkje voor klant.,Production A
1246977,CS Agenda: vinkje klant verhinderd,Production QA
1229193,CS Agenda: verwijzer van afspraak veranderen,Production QA
1198915,CS Agenda: Verwijderen zweefende afspraak,Production A
1237238,CS Agenda: Verwijderen subagenda,Production A
1198237,CS Agenda: Verwijderen agenda,Production A
1208966,CS Agenda: Verwijderen afspraak.,Commercial department
1238099,CS Agenda: Verwijderen afspraak,Production A
1238102,CS Agenda: Verwijderen afspraak,Production A
1220568,CS Agenda: verwijder subagenda's,Production A
1206413,CS Agenda: vervallen agenda fiatteren,Production A
1204159,CS Agenda: Verrichting koppelen aan afspraakcodes,Commercial department
1193097,CS Agenda: Verrichting bij afspraakcode verwijderen,Commercial department
1213997,CS Agenda: verrichting antedateren,Production A
1246929,CS Agenda: verplaatsingsbericht valt buiten papier,Production QA
1195000,CS Agenda: Verplaatsingsbericht aanpassen.,Commercial department
1246637,CS Agenda: verplaatsingsbericht,Commercial department
1191794,CS Agenda: Verdeling patiënten bij planen,Overig
1190212,CS Agenda: uniforme afspraakcodes,Production A
1191144,CS Agenda: uitleg What's new,Marketing
1193925,CS Agenda: Toevoegen subagenda's,Production A
1194487,CS Agenda: Toevoegen subagenda's,Overig
1188721,CS Agenda: Toevoegen Subagenda,Commercial department
1193543,CS Agenda: Toevoegen HEB groep aan agenda Ingrid Pasman,Commercial department
1243057,CS Agenda: toevoegen domeinactiviteit aan afspraakcode,Production A
1215361,CS Agenda: Toevoegen codes wondpoli Amsterdam,Production QA
1188398,CS Agenda: toevoegeing aan huis prikken,Marketing
1202876,CS Agenda: Telefoonnummer mist op bevestigingsbericht,Production QA
1214660,CS Agenda: telefoonnummer annuleringsbericht leeg,Production A
1208889,CS Agenda: subagenda's vervallen,Production A
1222641,CS Agenda: Subagenda's laten vervallen,Production A
1194916,CS Agenda: Subagenda toevoegen,Onbekend
1245865,CS Agenda: subagenda op vervallen zetten.,Production A
1249792,CS Agenda: Subagenda laten vervallen.,Production A
1191912,CS Agenda: Subagenda aanmaken,Production A
1198422,CS Agenda: Subagenda aanmaken,Production A
1197728,CS Agenda: Spreekuurraster,Production A
1199720,CS Agenda: Spreekuuroverzicht ziet er anders uit,Commercial department
1189568,CS Agenda: Spreekuuroverzicht,HR advies
1251915,CS Agenda: spreekuur rasteren,Production A
1226034,CS Agenda: SEH consulten verwijderen,Commercial department
1226134,CS Agenda: SEH consulten aanpassen.,Commercial department
1229353,CS Agenda: seh afspraak verwijderen,Commercial department
1234008,CS Agenda: scherm balimedewerker,Overig
1197439,CS Agenda: Roosteren,Commercial department
1244627,CS Agenda: Rooster Oconologiepolie 2014,Production QA
1205628,CS Agenda: Rasterwijziging,Onbekend
1221883,CS Agenda: rasters aanmaken,Commercial department
1243857,CS Agenda: rasteren 2014,Production QA
1214142,CS Agenda: rasteren,Overig
1245718,CS Agenda: raster aanpassen,Production A
1208463,CS Agenda: Printen uit agenda.,Production A
1196915,CS Agenda: Printen gaat niet goed.,Production A
1223893,CS agenda: plancombinaties werken nog niet,Production A
1226202,CS Agenda: plancombinatie toevoegen,Overig
1189577,CS Agenda: Overzicht verrichtingscode,Production A
1191359,CS Agenda: Overzicht verrichtingen,Production QA
1227582,CS Agenda: overzicht telefonisch afspraken,Production A
1229321,CS Agenda: overzicht subagenda's,Production A
1227114,CS Agenda: overzicht subagenda deze week,Production A
1207947,CS Agenda: overzicht klopt niet na naamswijziging agenda,Production A
1232912,CS Agenda: overzicht afspraken Noord-Holland-heracles,Commercial department
1189460,CS Agenda: overzicht afspraken,Production A
1194985,CS Agenda: overzicht afspraken,Commercial department
1189749,CS Agenda: overzicht afspraakcodes per subagenda,Production QA
1214232,CS Agenda: overzicht afspraakcodes,Production QA
1204995,CS Agenda: Overzicht afpraken klant,Production A
1242841,CS Agenda: overzicht aantallen per afspraakcode,Production A
1244874,CS Agenda: overzicht aantallen afspraakcodes FR,Production A
1214435,CS Agenda: opmaak verwijderen,Production A
1204953,CS Agenda: Opdrachten toevoegen aan een afspraak bevestiging van de anesthesie.,Production A
1246767,CS Agenda: Ongeplande consulten.,Production A
1231477,CS agenda: ongepland consult toevoegen,Onbekend
1197787,CS Agenda: Ongepland consult registreren,Production QA
1239660,CS Agenda: omschrijving subagenda,Production QA
1189340,CS Agenda: omschrijving afspraakbevestigingsbericht aanpassen,Production A
1206336,CS Agenda: no-show bericht aanpassen,Production A
1227434,CS Agenda: no showbrief aanpassen,Production A
1244033,CS Agenda: No show brief aanpassen,Production A
1218097,CS Agenda: no show bericht toevoegen,Production A
1209227,CS Agenda: nieuwe subagenda,Production A
1241273,CS Agenda: nieuwe klantgroepen toevoegen,Production A
1193990,CS Agenda: nieuwe agenda OSAS poli,Production A
1198301,CS Agenda: Nieuwe afspraak code.,Production A
1221271,CS Agenda: Nieuwe (sub)agenda hartrevalidatie,Production A
1198600,CS Agenda: Naam agenda aanpassen,Production A
1193530,CS Agenda: Mogelijkheid checklist,Production A
1188401,CS Agenda: MDO toevoegen Geriatrie,Commercial department
1192320,CS Agenda: Maken afspraakbevestigingsbrieven,HR advies
1192334,CS Agenda: mail Uitleg MBH,HR advies
1218504,CS Agenda: Locatie is niet gevuld,Production A
1208114,CS Agenda: locatie afspraken wijzigen en raster wijzigen,Production A
1219785,CS Agenda: Laten vervallen van agenda's,Production A
1212127,CS Agenda: klanten verplaatsen van Agenda A naar Agenda H,Production A
1207761,CS Agenda: klant blijft in context na selecteren lege regel,Production A
1203439,CS Agenda: kan uitvoerend arts niet wijzigen,Production A
1206116,CS Agenda: kan subagenda's niet fiatteren,HR advies
1227616,CS Agenda: kan niet toevoegen in klantgerichte invoer,Production A
1209174,CS Agenda: kan klanten niet verplaatsen in wachtkamer,Production A
1202585,CS Agenda: Kan klant niet autoriseren.,Production A
1202262,CS Agenda: Kan geen afspraak meer plannen.,Commercial department
1209026,CS Agenda: kan brief niet vinden,Production A
1212732,CS Agenda: kan bij rasters de goede subagenda niet kiezen,Production A
1193609,CS Agenda: Kan afspraak van klant niet terug vinden.,Production A
1225361,CS Agenda: kan afspraak niet verwijderen,Production A
1245334,CS Agenda: kan afspraak niet boeken,Production A
1205870,CS Agenda: Kan afspraak niet autoriseren,Production A
1192331,CS Agenda: Instructie verwijzer,HR advies
1188376,CS Agenda: Inrichting agenda's handenteam,Commercial department
1188680,CS Agenda: In gefiatteerde agenda code HC aanpassen naar NC,Commercial department
1190893,CS Agenda: groepsafspraak maken,Commercial department
1196252,CS Agenda: Grafisch agenda overzicht.,Production A
1188391,CS Agenda: GGZ vraag ongepland consult,Commercial department
1226337,CS Agenda: Foutmelding tijdens printen van spreekuur,Production A
1207117,CS Agenda: Foutmelding dbc datums in afspraken,Production A
1202493,CS Agenda: Foutmelding DBC bij autoriseren,Production A
1206332,CS Agenda: Foutmelding DBC,Production A
1206938,CS Agenda: Foutmelding DBC,Production A
1210441,CS Agenda: Foutmelding DBC,Production A
1241271,CS Agenda: Foutmelding DBC,Production A
1202520,CS Agenda: Foutmelding bij fiatteren.,Production A
1191791,CS Agenda: Foutmelding,Production A
1189593,CS Agenda: Fiatteren subagenda vaatbesperking chirurg/rad/neuro,Production A
1188497,CS Agenda: Fiatteren agenda CAR_ECG_A gezien t/m 13-09-2013.,Production A
1204617,CS Agenda: Fiateren lukt niet.,Production A
1192311,CS Agenda: Face-to-face ja/nee presenteren in afspraken-overzicht.,HR advies
1218506,CS Agenda: duur afspraakcode aanpassen,Production A
1231211,CS Agenda: diverse aanpassingen,Production A
1252734,CS Agenda: dialysegroep maken en inrasteren,Onbekend
1243016,CS Agenda: DBC niet zichtbaar,Commercial department
1210698,CS Agenda: DBC Foutmelding,Production A
1208036,CS agenda: DBC fout,Production A
1196255,CS Agenda: Dagmelding,Production QA
1218523,CS Agenda: Dagdelen rasteren,Production QA
1188409,CS Agenda: CRM-ERP traag na verslepen klant,Production QA
1188691,CS Agenda: CRM-ERP loopt vast bij slepen in agenda.,Commercial department
1192332,CS Agenda: Controle,HR advies
1195818,CS Agenda: Combi verplaatsingsbericht. Orthopedie Amsterdam,Production A
1190903,CS Agenda: Code laten vervallen per 01/01/2013,Production A
1204605,CS Agenda: Brieven geriatrie aanpassen,Commercial department
1224772,CS Agenda: Brieven aanpassen,Commercial department
1213588,CS Agenda: Brief toevoegen aan afspraakcode EHC,Production A
1205877,CS Agenda: Brief aanpassen,Production A
1188386,CS Agenda: brief,Production A
1189410,CS Agenda: brief,Production A
1218134,CS Agenda: bevestigingsscherm na boeken afspraak verdwenen,Production A
1239956,CS Agenda: bevestigingsberichten afdrukken,Production QA
1228787,CS Agenda: bevestigingsberichten aanpassen,Production A
